pid,feature,cycle,n_ref_bins,ref_median,ref_scale,scale_flag,n_challenge_valid,n_recovery_valid,resp_phys,resp_z,burden,t_depart_b1.5,return_time_b1.5,status_b1.5,t_depart_b2.0,return_time_b2.0,status_b2.0,residual_60,residual_180,residual_360,t_depart_b2.5,return_time_b2.5,status_b2.5,resp_phys_preref
p01,eeg_frontal_theta,1,18,1.200921072546954,0.22545634920019614,False,35,35,0.052438478633051844,0.23258816537692,262.9623942446721,,,not_estimable,,,not_estimable,-2.0640704394009375,1.0080897831484696,-0.5894050562071835,,,not_estimable,
p01,eeg_frontal_theta,2,18,1.200921072546954,0.22545634920019614,False,35,36,0.10942009244694795,0.4853271723556001,271.8615777737986,,,not_estimable,,,not_estimable,-0.4084592962690112,-0.1568235562610003,0.46581402878949235,,,not_estimable,0.02751793949079606
p01,eeg_frontal_alpha,1,18,0.8940270408161338,0.065831185944944,False,35,35,-0.02982867272509193,-0.453108542659983,400.6124540843216,280.0,40.0,returned,290.0,30.0,returned,-1.0033363668840893,-0.8945349706748666,1.9577053697231348,,,not_estimable,
p01,eeg_frontal_alpha,2,18,0.8940270408161338,0.065831185944944,False,35,36,-0.02283508750569574,-0.34687340320426857,393.4505395752684,,,not_estimable,,,not_estimable,0.8334515710782905,-3.2332766941035778,1.9994039581161596,,,not_estimable,-0.15829192155766225
p01,eeg_central_alpha,1,18,0.8426128009954135,0.08870479351928644,False,35,35,-0.056181866571166195,-0.6333577289591569,310.96929954954976,,,not_estimable,,,not_estimable,-0.33700246939303996,-1.8143402351712317,0.9978406742462965,,,not_estimable,
p01,eeg_central_alpha,2,18,0.8426128009954135,0.08870479351928644,False,35,36,-0.036689800270100714,-0.413616883760893,281.47564804748475,260.0,30.0,returned,,,not_estimable,0.7560142489574647,-3.8657300895209747,1.1983562615597556,,,not_estimable,-0.125203051244264
p01,eeg_parietal_alpha,1,18,0.8686842923582023,0.08492759997552693,False,35,35,0.04601093422363345,0.5417665663093286,264.91068537697447,,,not_estimable,,,not_estimable,0.04026664673722193,-1.7380806639245576,0.7366126186715131,,,not_estimable,
p01,eeg_parietal_alpha,2,18,0.8686842923582023,0.08492759997552693,False,35,36,0.020950177263093894,0.24668278944808258,242.92652603529496,,,not_estimable,,,not_estimable,1.6657713654121584,-1.6027513368046415,0.04991180822158331,,,not_estimable,0.005008659452647057
p01,eeg_occipital_alpha,1,0,,,True,0,0,,,,,,not_estimable,,,not_estimable,,,,,,not_estimable,
p01,eeg_occipital_alpha,2,0,,,True,0,0,,,,,,not_estimable,,,not_estimable,,,,,,not_estimable,
p01,eeg_central_beta,1,18,1.0264966198474579,0.05,True,35,35,-0.0271212021337216,-0.542424042674432,503.3883003382384,,,not_estimable,,,not_estimable,-1.9328350325451171,-2.845858560145811,1.5367235567523307,,,not_estimable,
p01,eeg_central_beta,2,18,1.0264966198474579,0.05,True,35,36,0.11229621721488381,2.245924344297676,1015.2850885689836,10.0,30.0,returned,10.0,30.0,returned,-0.7301959022206606,-5.655924221160935,1.7066678550530057,10.0,30.0,returned,-0.004833056882302511
p01,eeg_parietal_beta,1,18,1.0467798611315988,0.05,True,35,35,0.039165239866208124,0.7833047973241625,318.1543293493589,,,not_estimable,,,not_estimable,0.3650375447097298,-1.263978829190724,-2.1663186146690894,,,not_estimable,
p01,eeg_parietal_beta,2,18,1.0467798611315988,0.05,True,35,36,0.05205073016012407,1.0410146032024814,462.03478267664514,230.0,30.0,returned,,,not_estimable,-1.1155817285736958,-5.542950556787318,-1.7145029817460644,,,not_estimable,0.11671196747751456
p02,eeg_frontal_theta,1,18,1.0066870597562008,0.05,True,35,30,0.03669491271684744,0.7338982543369488,510.1182903790958,,,not_estimable,,,not_estimable,0.9668793944221932,6.208108958037757,-1.1113437633871315,,,not_estimable,
p02,eeg_frontal_theta,2,18,1.0066870597562008,0.05,True,36,38,0.025115079163154697,0.5023015832630939,587.5628111513743,,,ambiguous_timing,,,ambiguous_timing,3.229167366285277,-2.146078116606791,1.2074558581748773,,,ambiguous_timing,0.01927708522793603
p02,eeg_frontal_alpha,1,18,0.9368755687602361,0.07025994625300652,False,35,30,0.036150080254255035,0.5145190422446149,345.80034595144707,,,not_estimable,,,not_estimable,0.30365786122478583,3.3466451591189763,-0.7889366422902776,,,not_estimable,
p02,eeg_frontal_alpha,2,18,0.9368755687602361,0.07025994625300652,False,36,38,0.023268812346694645,0.33118175557526763,354.51140530060036,,,ambiguous_timing,,,ambiguous_timing,6.974035641225905,-0.3768198037710135,0.5711092755906785,,,ambiguous_timing,0.04450922890870035
p02,eeg_central_alpha,1,18,0.9672604128415867,0.08729522760532209,False,35,30,0.055252018170053985,0.632932861116516,291.1711435682542,,,not_estimable,,,not_estimable,0.9746268939280224,2.0887354321589067,0.43565015618089376,,,not_estimable,
p02,eeg_central_alpha,2,18,0.9672604128415867,0.08729522760532209,False,36,38,0.021021735788865348,0.24081197066016613,277.2717021138408,,,ambiguous_timing,,,ambiguous_timing,6.951563694256361,0.9984171342112801,0.5508050442441541,,,ambiguous_timing,-0.0020846333937909467
p02,eeg_parietal_alpha,1,18,1.0175367179157977,0.053594064836797996,False,35,30,0.0708415729423939,1.3218175027051442,555.8170327723758,50.0,79.99999999999989,returned,,,not_estimable,-0.4954503723860194,2.2918364533272606,0.9927298897384805,,,not_estimable,
p02,eeg_parietal_alpha,2,18,1.0175367179157977,0.053594064836797996,False,36,38,0.06131611034079443,1.144083967646629,502.5758446167395,,,ambiguous_timing,,,ambiguous_timing,8.888496753811982,-0.8315634698201968,0.3601072923181813,,,ambiguous_timing,0.03376831804440705
p02,eeg_occipital_alpha,1,18,1.0811161949499666,0.05,True,35,30,0.08632017312490303,1.7264034624980606,747.2478080595175,120.0,79.99999999999989,returned,120.0,79.99999999999989,returned,-1.2695998774987816,-0.2838744277536387,0.8219016289756631,120.0,40.0,returned,
p02,eeg_occipital_alpha,2,18,1.0811161949499666,0.05,True,36,37,0.02841406461818341,0.5682812923636682,504.661796782945,,,ambiguous_timing,,,ambiguous_timing,4.992680584507769,-4.273831116350412,1.5943466594354971,,,ambiguous_timing,-0.0005185070629578625
p02,eeg_central_beta,1,18,0.8928091785827488,0.05,True,35,30,0.09912028445279353,1.9824056890558706,721.7157987654075,40.0,69.99999999999989,returned,50.0,30.0,returned,0.4438381095117072,4.445100486976181,-0.6264055358893894,,,not_estimable,
p02,eeg_central_beta,2,18,0.8928091785827488,0.05,True,36,38,0.0087202513707616,0.17440502741523312,328.6611052636839,,,ambiguous_timing,,,ambiguous_timing,3.3544437389690485,-3.2592881270227836,-3.4583205045878107,,,ambiguous_timing,-0.01659690283463422
p02,eeg_parietal_beta,1,18,1.1338940771566939,0.05,True,35,30,0.026738534591319807,0.5347706918263961,415.0507499157367,320.0,149.9999999999999,returned,320.0,99.99999999999989,returned,-2.4077149065696934,2.4690055431997715,-1.3803323217290497,,,not_estimable,
p02,eeg_parietal_beta,2,18,1.1338940771566939,0.05,True,36,38,-0.04640218293655596,-0.9280436587311192,450.77799736767895,,,ambiguous_timing,,,ambiguous_timing,0.021260027130125536,-5.637678714146556,-3.9451169180115553,,,ambiguous_timing,-0.040700278468985385
p03,eeg_frontal_theta,1,18,1.0019711356514016,0.11946455431555693,False,35,35,-0.046441521606895075,-0.3887472888755201,259.63186171189363,,,not_estimable,,,not_estimable,-0.7943594548118795,-1.3612101560557501,-0.052250615858513025,,,not_estimable,
p03,eeg_frontal_theta,2,18,1.0019711356514016,0.11946455431555693,False,36,35,-0.11466813109455842,-0.9598506582267984,396.8771476046778,,,not_estimable,,,not_estimable,-0.4657221437963342,-0.053515899795739896,-0.7750817331954105,,,not_estimable,-0.08831318929904508
p03,eeg_frontal_alpha,1,18,0.9262823216899634,0.05,True,35,35,-0.18634526158501796,-3.7269052317003593,1285.90444394708,30.000000000000057,120.0,returned,30.000000000000057,120.0,returned,0.5194622278948824,-0.7377441339317858,-1.650007331981318,30.000000000000057,60.0,returned,
p03,eeg_frontal_alpha,2,18,0.9262823216899634,0.05,True,36,35,-0.18089536976074827,-3.6179073952149654,1364.4495977829652,10.0,90.0,returned,10.0,70.0,returned,1.5654563371183716,1.0576505101924627,-2.3804335161011325,10.0,50.0,returned,-0.1498052825953491
p03,eeg_central_alpha,1,18,0.9414144408027276,0.07008622766362019,False,35,35,-0.10973437111409068,-1.5657052001822998,681.8519507840018,230.00000000000006,120.0,returned,230.00000000000006,60.0,returned,-0.5476150475624643,-1.2248445960346461,-1.396294174376366,250.00000000000006,30.0,returned,
p03,eeg_central_alpha,2,18,0.9414144408027276,0.07008622766362019,False,36,35,-0.15008722041474076,-2.1414652410040733,832.5914770302124,10.0,50.0,returned,10.0,50.0,returned,2.1364539987592814,-0.6437108918054251,-1.452243974188505,120.0,50.0,returned,-0.09834679716258898
p03,eeg_parietal_alpha,1,18,1.0007934685908766,0.05845955334711458,False,35,35,-0.053627449102304214,-0.9173427785854121,555.2273761754834,250.00000000000006,120.0,returned,250.00000000000006,120.0,returned,-1.3922366744935526,-2.177298433373884,-1.1503989375518273,260.00000000000006,120.0,returned,
p03,eeg_parietal_alpha,2,18,1.0007934685908766,0.05845955334711458,False,36,35,-0.1330682099375784,-2.276244040857804,808.9526135809049,10.0,130.0,returned,10.0,50.0,returned,0.7776370304998808,-1.1303252306362168,-2.5589471284517233,120.0,30.0,returned,-0.06085264727744
p03,eeg_occipital_alpha,1,18,1.2353774830025177,0.05,True,35,35,-0.053142810188155254,-1.062856203763105,676.7518554996808,10.0,,censored,270.00000000000006,,censored,-2.8925270938695746,-4.407835914550646,-2.696925788536002,270.00000000000006,,censored,
p03,eeg_occipital_alpha,2,18,1.2353774830025177,0.05,True,36,35,-0.15875645582510112,-3.1751291165020246,1239.2055371592778,10.0,,censored,10.0,,censored,-4.057088814426759,-3.048803123686157,-4.283004045344154,10.0,,censored,-0.004652300812517218
p03,eeg_central_beta,1,18,0.9741755388881419,0.05,True,35,35,-0.15018352247018008,-3.0036704494036015,1213.0019181256146,40.00000000000006,,censored,80.00000000000006,,censored,-5.804408581256523,-6.797266563687692,-4.204670122604091,90.00000000000006,,censored,
p03,eeg_central_beta,2,18,0.9741755388881419,0.05,True,36,35,-0.244296971331466,-4.88593942662932,1669.2965331583773,10.0,,censored,10.0,,censored,-5.684616121155073,-5.867009783236982,-6.90391336759939,10.0,,censored,0.03275360631023616
p03,eeg_parietal_beta,1,18,1.0767997789133767,0.05,True,35,35,-0.11801762147434869,-2.3603524294869738,952.4197262209889,70.00000000000006,,censored,90.00000000000006,,censored,-5.695806818040056,-5.3328144885770286,-4.269104239875783,170.00000000000006,,censored,
p03,eeg_parietal_beta,2,18,1.0767997789133767,0.05,True,36,35,-0.24008799893453703,-4.80175997869074,1532.3614624233508,10.0,,censored,10.0,,censored,-5.244102595984792,-4.919301314346944,-5.743556658735249,10.0,,censored,0.015383685708318384
p04,eeg_frontal_theta,1,17,1.7151816609585355,0.050958563337044245,False,26,31,-0.010226702898894713,-0.20068664085473376,466.86585506797513,240.0,30.0,returned,240.0,30.0,returned,1.5471832200514863,0.6655826632222106,,240.0,30.0,returned,
p04,eeg_frontal_theta,2,17,1.7151816609585355,0.050958563337044245,False,25,33,0.02351882231142488,0.4615283628753307,387.6127574785273,70.0,,censored,,,not_estimable,-5.690696603968054,-1.1824422064218025,-3.531974787497413,,,not_estimable,0.059799436044068566
p04,eeg_frontal_alpha,1,17,1.1691089312805116,0.09333445798400489,False,26,31,-0.08284239179757114,-0.8875863597104532,241.84266367802172,,,not_estimable,,,not_estimable,0.34578721843718024,2.046788560128667,,,,not_estimable,
p04,eeg_frontal_alpha,2,17,1.1691089312805116,0.09333445798400489,False,25,33,-0.031723462690766535,-0.3398901474973275,193.15833299263267,,,not_estimable,,,not_estimable,0.2658306542095286,1.800788551104605,0.6323474730025057,,,not_estimable,-0.0626264072231435
p04,eeg_central_alpha,1,17,1.1101715510739782,0.058848596964003665,False,26,31,-0.061103707604326596,-1.038320550644603,369.1472471222296,60.0,30.0,returned,60.0,30.0,returned,0.4944545931959767,6.499044626275777,,60.0,30.0,returned,
p04,eeg_central_alpha,2,17,1.1101715510739782,0.058848596964003665,False,25,33,-0.02095213015131603,-0.3560344890487698,312.43009757889945,,,not_estimable,,,not_estimable,0.7002613633037633,2.828315724676565,1.675985698878649,,,not_estimable,-0.057799224538853
p04,eeg_parietal_alpha,1,17,1.0712924002105033,0.05731065320038267,False,26,31,-0.04227189650306795,-0.7375922999039485,236.94931569781247,,,not_estimable,,,not_estimable,-0.5919871411657152,5.823801103151862,,,,not_estimable,
p04,eeg_parietal_alpha,2,17,1.0712924002105033,0.05731065320038267,False,25,33,0.032209032559220585,0.5620077727364923,322.6197337482511,,,not_estimable,,,not_estimable,-0.3756110570614807,2.5924112302380196,2.50240634334198,,,not_estimable,-0.0383305420520601
p04,eeg_occipital_alpha,1,17,1.1464848089714703,0.06373405469666135,False,26,31,0.002847215809574699,0.04467338259154782,179.2387965208186,,,not_estimable,,,not_estimable,-1.0820012776528525,3.129163719025664,,,,not_estimable,
p04,eeg_occipital_alpha,2,17,1.1464848089714703,0.06373405469666135,False,25,33,0.01691251909283631,0.26536078982155603,226.67952662039283,,,not_estimable,,,not_estimable,-1.29450271433664,0.6375084043644271,0.8643816524157181,,,not_estimable,-0.019012068652210168
p04,eeg_central_beta,1,17,1.1900474824813088,0.06792997759024227,False,26,31,0.12039922858759544,1.7724020065758133,516.6443279635009,80.0,30.0,returned,200.0,30.0,returned,1.2905871538800238,1.5658341395946889,,,,not_estimable,
p04,eeg_central_beta,2,17,1.1900474824813088,0.06792997759024227,False,25,33,-0.009383765992359905,-0.1381388059475501,220.22888892856218,,,not_estimable,,,not_estimable,1.452856739783237,1.9659071664499936,1.6792416890014585,,,not_estimable,-0.06054425930634588
p04,eeg_parietal_beta,1,17,1.1398561037894674,0.05,True,26,31,0.05706832731577882,1.1413665463155764,375.6727112998823,,,not_estimable,,,not_estimable,0.8232570230122871,3.6801123934490443,,,,not_estimable,
p04,eeg_parietal_beta,2,17,1.1398561037894674,0.05,True,25,33,0.06275031310883428,1.2550062621766855,386.94386624867894,310.0,80.0,returned,,,not_estimable,0.5987223817312204,3.023702072782175,3.0061457636672007,,,not_estimable,-0.021491305320792575
