pid,abs_err_challenge_1,abs_err_challenge_2,abs_err_recovery_1,abs_err_recovery_2,abs_err_working_baseline
p01,348.6666666666667,384.5,200.36111111111111,164.11428571428573,53.47222222222222
p02,755.3333333333334,809.1388888888889,556.6666666666666,1025.1857142857143,71.19444444444444
p03,312.3611111111111,198.47222222222223,315.27777777777777,254.81428571428572,237.13888888888889
p04,820.7222222222222,1213.3333333333333,840.1666666666666,947.2857142857143,83.83333333333333
p05,310.30555555555554,140.27777777777777,254.83333333333334,166.13888888888889,135.05555555555554
p06,197.16666666666666,391.6666666666667,169.05555555555554,209.21428571428572,32.888888888888886
p07,557.1944444444445,402.1666666666667,304.80555555555554,221.75714285714287,18.444444444444443
p08,756.3055555555555,438.69444444444446,452.55555555555554,363.1857142857143,70.91666666666667
p09,347.6111111111111,382.47222222222223,205.80555555555554,203.15714285714284,184.91666666666666
p10,211.41666666666666,219.58333333333334,89.25,106.77142857142857,37.138888888888886
p11,1215.638888888889,2158.1111111111113,1770.3055555555557,1876.2857142857142,214.61111111111111
p12,529.6666666666666,238.38888888888889,593.0833333333334,412.9,577.6111111111111
p13,469.27777777777777,557.2222222222222,259.5833333333333,466.5,62.27777777777778
p15,323.05555555555554,650.0555555555555,303.69444444444446,674.2428571428571,358.6388888888889
p16,1384.6944444444443,2022.513888888889,1760.1666666666667,1954.7714285714285,236.88888888888889
p17,890.6111111111111,1459.7777777777778,779.5833333333334,1281.9,114.63888888888889
p18,116.75,183.41666666666666,296.8333333333333,322.3,185.27777777777777
p19,290.69444444444446,331.69444444444446,263.3611111111111,223.35714285714286,153.5
p20,333.19444444444446,513.9722222222222,219.75,305.92857142857144,208.05555555555554
p21,315.47222222222223,287.19444444444446,308.44444444444446,251.87142857142857,249.88888888888889
